gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,cik,costat
001004,31/08/2004,2004,1,INDL,C,D,STD,USD,2004Q3,2004Q1,0000001750,A
001004,30/11/2004,2004,2,INDL,C,D,STD,USD,2004Q4,2004Q2,0000001750,A
001004,28/02/2005,2004,3,INDL,C,D,STD,USD,2005Q1,2004Q3,0000001750,A
001004,31/05/2005,2004,4,INDL,C,D,STD,USD,2005Q2,2004Q4,0000001750,A
001013,31/07/2004,2004,3,INDL,C,D,STD,USD,2004Q2,2004Q3,0000061478,I
001013,31/10/2004,2004,4,INDL,C,D,STD,USD,2004Q3,2004Q4,0000061478,I
001013,31/01/2005,2005,1,INDL,C,D,STD,USD,2004Q4,2005Q1,0000061478,I
001013,30/04/2005,2005,2,INDL,C,D,STD,USD,2005Q1,2005Q2,0000061478,I
001021,30/06/2004,2004,4,INDL,C,D,STD,USD,2004Q2,2004Q4,0000319126,I
001021,30/09/2004,2005,1,INDL,C,D,STD,USD,2004Q3,2005Q1,0000319126,I
001021,31/12/2004,2005,2,INDL,C,D,STD,USD,2004Q4,2005Q2,0000319126,I
001021,31/03/2005,2005,3,INDL,C,D,STD,USD,2005Q1,2005Q3,0000319126,I
001034,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000730469,I
001034,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000730469,I
001034,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000730469,I
001034,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000730469,I
001038,30/06/2004,2004,1,INDL,C,D,STD,USD,2004Q2,2004Q1,,I
001038,30/09/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,,I
001045,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000006201,A
001045,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000006201,A
