"","Gvkey","CIK"
"1",1004,1750
"5",1013,61478
"9",1021,319126
"13",1034,730469
"17",1038,NA
"19",1045,6201
"23",1050,3197
"27",1056,2601
"31",1072,859163
"35",1075,764622
"39",1076,706688
"43",1078,1800
"47",1082,1923
"51",1084,1961
"55",1094,2034
"59",1104,2098
"63",1109,747435
"67",1111,NA
"71",1117,2186
"75",1121,2178
"79",1154,2589
"82",1161,2488
"86",1164,723527
"90",1165,350200
"94",1173,109471
"98",1183,1004981
"102",1209,2969
"106",1210,353184
"110",1228,98618
"114",1230,766421
"118",1234,701288
"122",1239,1368457
"126",1240,3333
"130",1246,3370
"134",1254,3453
"138",1258,354767
"142",1259,708717
"146",1266,3545
"150",1272,745543
"154",1279,3673
"158",1283,3753
"161",1300,773840
"165",1308,3982
"169",1318,65873
"173",1327,4127
"177",1331,4164
"181",1356,NA
"185",1360,4317
"189",1363,4344
"192",1380,4447
"196",1382,701345
"200",1393,4457
"204",1397,4611
"208",1408,789073
"212",1410,771497
"216",1439,742126
"220",1440,4904
"224",1441,352281
"228",1444,315428
"232",1468,5133
"236",1478,5187
"240",1496,8855
"244",1511,NA
"248",1518,763730
"252",1523,700721
"256",1533,350832
"260",1554,5768
"264",1559,744825
"268",1562,713425
"272",1567,836102
"276",1577,766430
"280",1581,5907
"284",1585,5981
"288",1593,790730
"292",1598,1037868
"296",1602,318154
"300",1606,741559
"304",1611,731859
"308",1613,6176
"312",1627,6260
"315",1632,6281
"319",1633,6284
"323",1634,6292
"327",1635,6314
"331",1641,6383
"335",1642,778808
"336",1650,6494
"340",1651,317093
"344",1655,6571
"348",1659,821026
"352",1663,310569
"356",1669,1169237
"360",1677,6720
"364",1678,6769
"368",1681,726435
"372",1686,6845
"376",1690,320193
"380",1704,6951
"384",1705,312258
"388",1706,6955
"392",1712,7039
"396",1722,7084
"400",1728,225051
"404",1743,894405
"408",1762,1109304
"412",1773,7536
"416",1783,7623
"420",1794,1674862
"424",1797,NA
"428",1819,8038
"431",1820,8146
"435",1823,8063
"439",1837,1004155
"443",1860,8411
"447",1864,744187
"451",1866,723639
"455",1874,8598
"458",1878,769397
"462",1884,201653
"466",1891,8670
"470",1902,718007
"474",1906,39677
"478",1913,8818
"482",1914,701650
"486",1919,8858
"490",1920,8868
"494",1926,8947
"498",1951,320174
"502",1968,9092
"506",1969,9096
"510",1971,350750
"514",1974,9263
"518",1976,808362
"522",1979,9326
"526",1981,9342
"530",1988,9389
"534",1995,1004440
"538",2006,318378
"542",2008,9534
"546",2033,9779
"550",2034,9801
"554",2044,9892
"558",2049,9984
"562",2052,10048
"566",2061,749872
"570",2073,10254
"574",2080,10329
"578",2085,1416436
"582",2086,10456
"586",2100,909992
"590",2101,109563
"594",2111,10795
"598",2113,772263
"602",2124,729580
"606",2128,880114
"610",2136,732712
"614",2138,945489
"618",2146,732713
"622",2150,356080
"626",2154,11199
"630",2163,935226
"634",2176,1067983
"638",2184,764478
"642",2193,1040441
"646",2204,870756
"650",2220,12208
"654",2222,722104
"658",2230,351346
"662",2236,1300128
"666",2237,1584361
"670",2240,720762
"674",2246,355007
"678",2251,723889
"682",2255,12355
"686",2259,1130464
"690",2264,12570
"694",2269,12659
"698",2270,314808
"702",2271,1001606
"706",2282,33769
"710",2285,12927
"714",2290,12978
"718",2295,354655
"722",2299,719722
"726",2312,315213
"730",2328,1035675
"734",2337,1393066
"738",2340,13547
"742",2342,13573
"746",2345,13606
"750",2346,13610
"754",2352,746598
"758",2390,14177
"762",2393,14195
"766",2402,14280
"770",2403,14272
"774",2433,14637
"778",2435,14693
"782",2436,14707
"786",2444,14930
"790",2448,1104657
"794",2469,15310
"796",2482,15486
"800",2484,718916
"804",2490,934612
"808",2497,15615
"812",2504,746838
"816",2519,15847
"820",2521,1003429
"824",2536,733269
"828",2537,350621
"832",2538,18396
"836",2555,25354
"840",2556,20629
"844",2561,351717
"848",2573,356037
"852",2574,277948
"856",2577,26058
"860",2581,766792
"864",2589,1018871
"868",2593,16040
"872",2595,350199
"876",2596,16058
"880",2602,745274
"884",2606,16104
"888",2615,730255
"892",2618,16317
"896",2628,1035201
"900",2644,16590
"904",2663,16732
"908",2710,16918
"912",2735,202947
"916",2751,721371
"920",2771,790051
"924",2783,1094093
"928",2787,17843
"932",2802,18061
"936",2803,18072
"940",2807,726958
"944",2811,18172
"948",2812,18169
"952",2817,18230
"956",2818,18255
"960",2820,278166
"964",2829,740664
"968",2831,745651
"972",2845,18532
"976",2856,1061393
"980",2859,1089819
"984",2870,18808
"988",2884,18926
"992",2888,18937
"996",2889,826821
"1000",2897,19002
"1003",2903,713492
"1007",2908,316672
"1011",2909,742685
"1013",2916,814068
"1017",2918,19161
"1021",2929,19252
"1025",2938,19353
"1029",2940,19411
"1033",2942,19446
"1037",2950,19520
"1041",2951,350692
"1045",2953,215419
"1049",2955,201424
"1052",2960,19584
"1056",2982,19731
"1060",2986,19745
"1064",2990,749647
"1068",2991,93410
"1072",2999,19871
"1076",3007,703351
"1080",3011,706539
"1084",3026,313927
"1088",3028,20212
"1092",3031,20232
"1096",3036,716133
"1100",3041,716823
"1104",3048,720145
"1108",3054,104599
"1112",3055,725897
"1116",3062,723254
"1120",3063,725549
"1123",3087,34115
"1127",3093,20740
"1131",3105,1400891
"1135",3107,764065
"1139",3116,716646
"1143",3121,21076
"1147",3126,21212
"1151",3129,728303
"1155",3134,49444
"1159",3138,317540
"1163",3144,21344
"1167",3153,215466
"1171",3156,21438
"1175",3157,21510
"1179",3158,21535
"1183",3164,769644
"1184",3170,21665
"1188",3171,356830
"1192",3178,21759
"1196",3184,21828
"1200",3203,830524
"1204",3218,22252
"1208",3220,1096936
"1210",3226,1166691
"1214",3229,230131
"1217",3230,1179484
"1221",3240,109757
"1225",3246,22444
"1229",3265,310433
"1233",3270,355627
"1237",3275,22701
"1241",3278,723612
"1245",3297,22912
"1249",3310,356028
"1253",3311,356446
"1257",3333,23071
"1261",3336,1688568
"1265",3342,23111
"1269",3358,23197
"1273",3362,23217
"1277",3365,23019
"1281",3367,352988
"1285",3369,718332
"1289",3376,23259
"1293",3394,276209
"1297",3399,23503
"1301",3413,1047862
"1305",3416,23675
"1309",3424,93859
"1313",3439,811156
"1317",3465,24104
"1321",3469,732834
"1325",3480,1124887
"1329",3502,24491
"1333",3504,711404
"1337",3505,24545
"1341",3515,NA
"1345",3532,24741
"1349",3533,1582244
"1353",3547,718096
"1357",3556,25212
"1361",3570,1067294
"1365",3580,25445
"1369",3584,712815
"1371",3594,277924
"1375",3600,25657
"1379",3607,1091862
"1383",3612,25793
"1387",3619,1219601
"1391",3622,25895
"1395",3639,26076
"1399",3647,723603
"1403",3650,26172
"1407",3662,26324
"1411",3691,109657
"1415",3707,714603
"1419",3711,NA
"1420",3734,26780
"1424",3735,313616
"1428",3756,26987
"1430",3761,351998
"1434",3762,350194
"1438",3773,704914
"1439",3782,205239
"1441",3785,NA
"1445",3786,27096
"1449",3793,708250
"1453",3806,799165
"1457",3807,27367
"1461",3813,27419
"1465",3814,787250
"1469",3820,1519380
"1473",3824,715779
"1477",3833,27613
"1481",3835,315189
"1485",3839,27748
"1489",3840,27751
"1491",3851,27904
"1495",3855,277375
"1499",3863,27996
"1503",3872,28146
"1507",3895,28372
"1511",3897,936340
"1515",3905,730464
"1519",3908,28561
"1523",3916,28626
"1527",3917,702259
"1531",3918,28630
"1535",3934,28742
"1539",3937,939930
"1543",3946,28823
"1547",3949,28866
"1551",3962,722313
"1555",3964,28917
"1559",3969,29002
"1563",3971,708850
"1567",3972,29006
"1571",3980,1001039
"1575",3983,59963
"1577",4001,29332
"1581",4005,14995
"1583",4016,29534
"1587",4029,715957
"1591",4036,29644
"1595",4040,29669
"1599",4049,29806
"1603",4051,351809
"1607",4052,29834
"1611",4058,29905
"1615",4060,1666700
"1619",4062,29924
"1623",4066,29989
"1627",4072,1498301
"1631",4077,30140
"1635",4078,1189712
"1639",4087,30554
"1643",4090,30302
"1647",4091,30305
"1651",4093,1326160
"1655",4094,1115222
"1659",4103,846930
"1663",4108,30625
"1667",4115,67215
"1671",4124,720875
"1675",4127,30822
"1679",4128,30828
"1683",4130,30831
"1687",4145,31791
"1691",4149,NA
"1695",4156,350846
"1699",4162,727008
"1703",4168,30927
"1705",4173,30966
"1709",4186,31107
"1713",4194,31235
"1717",4199,1551182
"1721",4213,31462
"1725",4222,31617
"1729",4225,31667
"1733",4241,31978
"1737",4242,1066107
"1741",4251,32017
"1745",4273,32166
"1749",4274,726514
"1753",4275,351789
"1757",4279,32198
"1761",4292,773547
"1765",4321,32604
"1769",4322,32621
"1773",4331,32689
"1777",4340,350917
"1781",4341,714284
"1785",4351,277595
"1789",4352,32878
"1793",4371,352947
"1797",4372,772891
"1801",4383,731802
"1805",4390,33002
"1809",4409,727510
"1813",4412,33073
"1817",4415,33113
"1821",4418,316253
"1825",4423,33185
"1829",4430,33213
"1833",4448,33488
"1837",4450,33533
"1841",4456,355199
"1845",4460,33619
"1849",4462,1282637
"1853",4467,276283
"1857",4476,753568
"1861",4477,1125536
"1865",4494,746515
"1869",4496,313395
"1873",4497,34067
"1877",4498,764401
"1881",4503,34088
"1885",4510,37785
"1889",4515,38570
"1893",4517,753308
"1897",4520,34136
"1901",4523,34151
"1905",4553,34339
"1906",4560,34408
"1910",4568,34471
"1914",4572,34497
"1918",4579,34563
"1922",4595,744106
"1926",4598,1048911
"1930",4600,1419581
"1934",4607,34908
"1938",4608,277509
"1942",4611,794367
"1946",4622,35214
"1950",4645,719164
"1954",4675,109831
"1958",4695,730669
"1962",4758,37358
"1966",4759,12040
"1970",4768,314132
"1974",4771,37472
"1978",4790,1360951
"1982",4801,37643
"1986",4802,37651
"1990",4807,713002
"1994",4809,1128928
"1998",4818,1124198
"2002",4826,355019
"2006",4828,37912
"2010",4830,37914
"2014",4839,37996
"2018",4843,38074
"2022",4844,NA
"2026",4860,352825
"2030",4881,38725
"2034",4900,39020
"2038",4903,39092
"2042",4911,39047
"2046",4918,39273
"2050",4926,39368
"2054",4932,39547
"2057",4936,39648
"2061",4941,40211
"2065",4988,39899
"2069",4990,39911
"2073",5018,40888
