"","X","datacqtr","gvkey","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","quarter","X.1","X.2","Index"
"31",31,"2004Q1",1004,"http://www.sec.gov/Archives/edgar/data/1750/0001104659-04-009743.txt",1750,"10-Q","AAR CORP","16130","16169",20041,NA,NA,1
"83",83,"2004Q1",1013,"http://www.sec.gov/Archives/edgar/data/61478/0001104659-04-016832.txt",61478,"10-Q","ADC TELECOMMUNICATIONS INC","16191","16236",20041,NA,NA,17
"133",133,"2004Q1",1021,"http://www.sec.gov/Archives/edgar/data/319126/0001157523-04-004841.txt",319126,"10-Q","AFP IMAGING CORP","16161","16205",20041,NA,NA,32
"183",183,"2004Q1",1034,"http://www.sec.gov/Archives/edgar/data/730469/0000730469-04-000062.txt",730469,"10-Q","ALPHARMA INC","16161","16203",20041,NA,NA,46
"259",259,"2004Q1",1038,"http://www.sec.gov/Archives/edgar/data/722077/0001047469-04-021483.txt",722077,"10-K","AMC ENTERTAINMENT INC","16162","16245",20041,NA,NA,62
"299",299,"2004Q1",1045,"http://www.sec.gov/Archives/edgar/data/6201/0000006201-04-000019.txt",6201,"10-Q","AMR CORP","16161","16184",20041,NA,NA,63
"348",348,"2004Q1",1050,"http://www.sec.gov/Archives/edgar/data/3197/0001193125-04-089580.txt",3197,"10-Q","CECO ENVIRONMENTAL CORP","16161","16208",20041,NA,NA,78
"404",404,"2004Q1",1056,"http://www.sec.gov/Archives/edgar/data/2601/0001047469-04-017641.txt",2601,"10-Q","AEROFLEX INC","16161","16208",20041,NA,NA,94
"448",448,"2004Q1",1072,"http://www.sec.gov/Archives/edgar/data/859163/0000859163-04-000091.txt",859163,"10-K","AVX CORP","16161","16236",20041,NA,NA,107
"506",506,"2004Q1",1075,"http://www.sec.gov/Archives/edgar/data/764622/0000950153-04-001129.txt",764622,"10-Q","PINNACLE WEST CAPITAL CORP","16161","16198",20041,NA,NA,123
"558",558,"2004Q1",1076,"http://www.sec.gov/Archives/edgar/data/706688/0001104659-04-013275.txt",706688,"10-Q","AARON RENTS INC","16161","16198",20041,NA,NA,139
"609",609,"2004Q1",1078,"http://www.sec.gov/Archives/edgar/data/1800/0001104659-04-011794.txt",1800,"10-Q","ABBOTT LABORATORIES","16161","16190",20041,NA,NA,155
"660",660,"2004Q1",1082,"http://www.sec.gov/Archives/edgar/data/1923/0000950144-04-007358.txt",1923,"10-K","ABRAMS INDUSTRIES INC","16191","16280",20041,NA,NA,171
"725",725,"2004Q1",1094,"http://www.sec.gov/Archives/edgar/data/2034/0001188112-04-000794.txt",2034,"10-Q","ACETO CORP","16161","16208",20041,NA,NA,179
"819",819,"2004Q1",1104,"http://www.sec.gov/Archives/edgar/data/2098/0001026608-04-000025.txt",2098,"10-Q","ACME UNITED CORP","16161","16189",20041,NA,NA,195
"872",872,"2004Q1",1109,"http://www.sec.gov/Archives/edgar/data/747435/0001193125-04-067534.txt",747435,"10QSB","ACTION PRODUCTS INTERNATIONAL INC","16161","16183",20041,NA,NA,211
"923",923,"2004Q1",1111,"http://www.sec.gov/Archives/edgar/data/718877/0001104659-04-016641.txt",718877,"10-K","ACTIVISION INC /NY","16161","16232",20041,NA,NA,227
"988",988,"2004Q1",1117,"http://www.sec.gov/Archives/edgar/data/2186/0001116502-04-001054.txt",2186,"10-Q","RELM WIRELESS CORP","16161","16188",20041,NA,NA,243
"1040",1040,"2004Q1",1121,"http://www.sec.gov/Archives/edgar/data/2178/0000950129-04-003259.txt",2178,"10-Q","ADAMS RESOURCES & ENERGY INC","16161","16205",20041,NA,NA,259
"1123",1123,"2004Q1",1161,"http://www.sec.gov/Archives/edgar/data/2488/0001193125-04-080712.txt",2488,"10-Q","ADVANCED MICRO DEVICES INC","16158","16197",20041,NA,NA,263
"1172",1172,"2004Q1",1164,"http://www.sec.gov/Archives/edgar/data/723527/0001193125-04-083539.txt",723527,"10-Q","MCI INC","16161","16201",20041,NA,NA,279
"1208",1208,"2004Q1",1165,"http://www.sec.gov/Archives/edgar/data/350200/0000350200-04-000003.txt",350200,"10QSB","B FAST CORP","16161","16208",20041,NA,NA,286
"1247",1247,"2004Q1",1173,"http://www.sec.gov/Archives/edgar/data/109471/0000109471-04-000015.txt",109471,"10-Q","AEROSONIC CORP /DE/","16191","16224",20041,NA,NA,294
"1289",1289,"2004Q1",1183,"http://www.sec.gov/Archives/edgar/data/1004981/0000950136-04-001928.txt",1004981,"10-Q","NATIONAL AUTO CREDIT INC /DE","16191","16236",20041,NA,NA,310
"1353",1353,"2004Q1",1209,"http://www.sec.gov/Archives/edgar/data/2969/0000950123-04-006318.txt",2969,"10-Q","AIR PRODUCTS & CHEMICALS INC /DE/","16161","16204",20041,NA,NA,320
"1405",1405,"2004Q1",1210,"http://www.sec.gov/Archives/edgar/data/353184/0000353184-04-000013.txt",353184,"10-K","AIR T INC","16161","16246",20041,NA,NA,336
"1491",1491,"2004Q1",1228,"http://www.sec.gov/Archives/edgar/data/98618/0000098618-04-000029.txt",98618,"10QSB","ALANCO TECHNOLOGIES INC","16161","16209",20041,NA,NA,352
"1543",1543,"2004Q1",1230,"http://www.sec.gov/Archives/edgar/data/766421/0000950124-04-002220.txt",766421,"10-Q","ALASKA AIR GROUP INC","16161","16202",20041,NA,NA,368
"1595",1595,"2004Q1",1234,"http://www.sec.gov/Archives/edgar/data/701288/0001157523-04-004760.txt",701288,"10-Q","ATRION CORP","16161","16204",20041,NA,NA,384
"1661",1661,"2004Q1",1239,"http://www.sec.gov/Archives/edgar/data/3327/0001193125-04-082199.txt",3327,"10-Q","ALBERTO CULVER CO","16161","16198",20041,NA,NA,400
"1668",1668,"2006Q3",1239,"http://www.sec.gov/Archives/edgar/data/1368457/0001193125-06-252473.txt",1368457,"10-K","Alberto-Culver CO","17074","17148",20063,NA,NA,407
"1710",1710,"2004Q1",1240,"http://www.sec.gov/Archives/edgar/data/3333/0000003333-04-000024.txt",3333,"10-Q","ALBERTSONS INC /DE/","16190","16226",20041,NA,NA,413
"1749",1749,"2004Q1",1244,"http://www.sec.gov/Archives/edgar/data/708484/0001104659-04-009890.txt",708484,"10-Q","ALCIDE CORP","16130","16173",20041,NA,NA,422
"1781",1781,"2004Q1",1246,"http://www.sec.gov/Archives/edgar/data/3370/0000003370-04-000099.txt",3370,"10-Q","IKON OFFICE SOLUTIONS INC","16161","16205",20041,NA,NA,423
"1833",1833,"2004Q1",1254,"http://www.sec.gov/Archives/edgar/data/3453/0000003453-04-000018.txt",3453,"10-Q","ALEXANDER & BALDWIN INC","16161","16188",20041,NA,NA,439
"1870",1870,"2004Q1",1258,"http://www.sec.gov/Archives/edgar/data/354767/0001090002-04-000175.txt",354767,"10QSB","CAPCO ENERGY INC","16161","16215",20041,NA,NA,455
"1909",1909,"2004Q1",1259,"http://www.sec.gov/Archives/edgar/data/708717/0001169232-04-003333.txt",708717,"10-Q","ALFACELL CORP","16191","16236",20041,NA,NA,463
