"","X","gvkey","viol","datadate","gvkey.1","datadate.1","datacqtr","datafqtr","Index"
"2",13,1021,1,"30.09.2006",1021,"30.09.2006","2006Q3","2007Q1",2
"4",26,1034,1,"30.06.2005",1034,"30.06.2005","2005Q2","2005Q2",4
"8",48,1045,1,"31.03.2006",1045,"31.03.2006","2006Q1","2006Q1",8
"9",61,1050,1,"30.06.2004",1050,"30.06.2004","2004Q2","2004Q2",9
"17",123,1104,1,"31.03.2006",1104,"31.03.2006","2006Q1","2006Q1",17
"20",146,1109,1,"31.12.2006",1109,"31.12.2006","2006Q4","2006Q4",20
"22",167,1117,1,"31.03.2007",1117,"31.03.2007","2007Q1","2007Q1",22
"28",189,1173,1,"31.07.2007",1173,"31.07.2007","2007Q2","2007Q2",28
"32",222,1239,1,"30.09.2006",1239,"30.09.2006","2006Q3","2006Q4",32
"39",263,1266,1,"31.05.2007",1266,"31.05.2007","2007Q2","2007Q3",39
"49",319,1360,1,"30.09.2006",1360,"30.09.2006","2006Q3","2006Q2",49
"60",372,1496,1,"31.12.2005",1496,"31.12.2005","2005Q4","2005Q4",60
"63",387,1523,1,"31.03.2006",1523,"31.03.2006","2006Q1","2006Q1",63
"79",433,1651,1,"30.09.2007",1651,"30.09.2007","2007Q3","2007Q4",79
"80",448,1655,1,"31.07.2006",1655,"31.07.2006","2006Q2","2006Q2",80
"81",458,1677,1,"30.06.2004",1677,"30.06.2004","2004Q2","2004Q2",81
"93",502,1783,1,"28.02.2006",1783,"28.02.2006","2006Q1","2006Q1",93
"94",515,1823,1,"31.12.2004",1823,"31.12.2004","2004Q4","2004Q4",94
"103",551,1878,1,"31.07.2006",1878,"31.07.2006","2006Q2","2006Q2",103
"112",567,1902,1,"30.09.2005",1902,"30.09.2005","2005Q3","2005Q3",112
"120",595,1906,1,"31.12.2007",1906,"31.12.2007","2007Q4","2007Q4",120
"132",615,1974,1,"30.06.2005",1974,"30.06.2005","2005Q2","2005Q2",132
"136",632,2033,1,"31.12.2004",2033,"31.12.2004","2004Q4","2005Q1",136
"142",673,2080,1,"30.11.2006",2080,"30.11.2006","2006Q4","2006Q4",142
"143",688,2085,1,"30.09.2005",2085,"30.09.2005","2005Q3","2005Q3",143
"151",715,2163,1,"31.03.2004",2163,"31.03.2004","2004Q1","2003Q4",151
"155",735,2193,1,"30.06.2004",2193,"30.06.2004","2004Q2","2004Q2",155
