"","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq"
"41",1021,"30.09.2006",1,2007,1,"2006Q3","2007Q1",13.501,14.305,5.233,12.429,1.063,0,-0.568,4.108,4.174,-0.542,0.36,5.492,10.131,0,NA,1.75,"",3861,3844,607.9,"http://www.sec.gov/Archives/edgar/data/319126/0001157523-06-011336.txt",319126,"10-Q","AFP IMAGING CORP","30.09.06","14.11.06",2006,1021,"30.09.2006",2007,1,"INDL","USD","2006Q3","2007Q1",NA,0.115,0.039,0,"I",0
"51",1034,"30.06.2005",1,2005,2,"2005Q2","2005Q2",519.309,1754.727,50.689,53.283,168.385,363.366,6.429,489.194,918.239,45.63,428.335,137.639,836.488,33.253,11.681,14.47,"B",2834,2834,582.6,"http://www.sec.gov/Archives/edgar/data/730469/0000730469-05-000074.txt",730469,"10-Q","ALPHARMA INC","30.06.05","02.08.05",2005,1034,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,16.41,0,"I",0.045
"72",1045,"31.03.2006",1,2006,1,"2006Q1","2006Q1",6820,29918,4778,189.388,1185,13165,-92,8744,31190,402,18362,5344,-1272,0,261,27.05,"B-",4512,4512,598.6,"http://www.sec.gov/Archives/edgar/data/6201/0000006201-06-000031.txt",6201,"10-Q","AMR CORP","31.03.06","20.04.06",2006,1045,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0,104,0,"A",0
"82",1050,"30.06.2004",1,2004,2,"2004Q2","2004Q2",18.829,40.827,0.155,9.992,7.857,8.81,-0.282,19.746,33.49,0.414,9.571,15.071,7.337,2.419,0.625,1.794,"",3564,3564,568.2,"http://www.sec.gov/Archives/edgar/data/3197/0001193125-04-141570.txt",3197,"10-Q","CECO ENVIRONMENTAL CORP","30.06.04","16.08.04",2004,1050,"30.06.2004",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0,0.119,0,"A",0
"219",1104,"31.03.2006",1,2006,1,"2006Q1","2006Q1",26.238,30.442,0.99,3.485,0.01,7.785,0.759,6.857,15.679,1.5,2.632,12.257,14.763,0.131,0.125,14.01,"",3420,3420,598.6,"http://www.sec.gov/Archives/edgar/data/2098/0001026608-06-000076.txt",2098,"10-Q","ACME UNITED CORP","31.03.06","10.05.06",2006,1104,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0,0.035,0,"A",0.03
"239",1109,"31.12.2006",1,2006,4,"2006Q4","2006Q4",4.249,6.75,0.527,5.232,1.219,0,-1.1,2.583,2.583,-0.819,1,2.11,4.167,0,0.024,1.5307,"",3944,3944,604.5,"http://www.sec.gov/Archives/edgar/data/747435/0001193125-07-071919.txt",747435,"10KSB","ACTION PRODUCTS INTERNATIONAL INC","31.12.06","02.04.07",2006,1109,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",1.83,0,0.091,0.001,"I",0
"274",1117,"31.03.2007",1,2007,1,"2007Q1","2007Q1",27.36,34.017,11.775,13.342,0,0,-0.344,1.989,1.989,-0.555,0.905,4.631,32.028,0,0.003,4,"",3663,3663,615.145,"http://www.sec.gov/Archives/edgar/data/2186/0001116502-07-000933.txt",2186,"10-Q","RELM WIRELESS CORP","31.03.07","08.05.07",2007,1117,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,0.083,0,"A",0
"343",1173,"31.07.2007",1,2007,2,"2007Q2","2007Q2",12.292,17.422,0.26,3.569,0.23,2.215,-1.303,5.006,7.597,-1.607,3.23,5.292,9.825,0.006,0.036,7.39,"",3812,3812,623.97,"http://www.sec.gov/Archives/edgar/data/109471/0000910680-07-000867.txt",109471,"10-Q","AEROSONIC CORP /DE/","27.07.07","17.09.07",2007,1173,"31.07.2007",2007,2,"INDL","USD","2007Q2","2007Q2",NA,0,0.339,0,"I",0
"451",1239,"30.09.2006",1,2006,4,"2006Q3","2006Q4",1428.801,2582.597,305.95,93.239,1.088,122.322,29.909,590.848,823.668,49.455,354.026,368.141,1758.929,43.527,2.195,50.59,"BBB+",5990,2844,607.9,"http://www.sec.gov/Archives/edgar/data/1368457/0001193125-06-252473.txt",1368457,"10-K","Alberto-Culver CO","30.09.06","13.12.06",2006,1239,"30.09.2006",2006,4,"INDL","USD","2006Q3","2006Q4",48.68,26.995,80.341,1.553,"I",0.13
"537",1266,"31.05.2007",1,2007,3,"2007Q2","2007Q3",141.194,299.52,79.819,7.364,1.347,67.377,-13.149,94.87,171.117,11.537,131.767,62.188,128.403,0,1.328,59.94,"",100,100,622.921,"http://www.sec.gov/Archives/edgar/data/3545/0001362310-07-001329.txt",3545,"10-Q","ALICO INC","31.05.07","16.07.07",2007,1266,"31.05.2007",2007,3,"INDL","USD","2007Q2","2007Q3",58.73,0,7.141,1.106,"A",0.275
"682",1360,"30.09.2006",1,2006,2,"2006Q3","2006Q2",11.033,20.929,2.031,3.995,4.734,1.563,-2.583,12.469,15.607,-1.359,7.552,13.563,5.322,0.17,0.114,2.46,"",NA,7373,607.9,"http://www.sec.gov/Archives/edgar/data/4317/0001038838-06-000968.txt",4317,"10-Q","SENTO CORP","30.09.06","28.12.06",2006,1360,"30.09.2006",2006,2,"INDL","USD","2006Q3","2006Q2",NA,0,1.604,0,"I",0
"887",1496,"31.12.2005",1,2005,4,"2005Q4","2005Q4",10.666,15.099,1.278,1.546,0.138,2.178,-1.452,3.305,6.627,-1.35,4.376,7.015,8.472,0,0.053,5.92,"",2540,2540,589.4,"http://www.sec.gov/Archives/edgar/data/8855/0001047469-07-006807.txt",8855,"10-K","AMERICAN LOCKER GROUP INC","31.12.05","31.08.07",2005,1496,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,0.476,0,"A",0
"931",1523,"31.03.2006",1,2006,1,"2006Q1","2006Q1",8.178,30.531,1.92,8.892,1.116,4.276,0.28,5.54,11.31,1.235,8.644,7.15,19.221,1.037,0.062,6.27,"",7380,7380,598.6,"http://www.sec.gov/Archives/edgar/data/700721/0001144204-06-020583.txt",700721,"10-Q","AMERICAN MEDICAL ALERT CORP","31.03.06","15.05.06",2006,1523,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",NA,2.953,1.13,0,"I",0
"1257",1651,"30.09.2007",1,2007,4,"2007Q3","2007Q4",1250.488,2350.533,154.992,156.024,333.682,11.333,-62.59,898.954,967.995,59.621,215.56,624.438,1382.538,0,4.872,13.85,"BB-",3357,3357,624.543,"http://www.sec.gov/Archives/edgar/data/317093/0001193125-07-251888.txt",317093,"10-K","ANDREW CORP","30.09.07","21.11.07",2007,1651,"30.09.2007",2007,4,"INDL","USD","2007Q3","2007Q4",0,53.67,57.819,20.425,"I",0
"1268",1655,"31.07.2006",1,2006,2,"2006Q2","2006Q2",115.436,328.494,5.788,9.424,0.246,86.501,-0.715,80.834,183.319,5.452,99.006,105.286,145.175,0,2.349,16.85,"",7200,7200,609.6,"http://www.sec.gov/Archives/edgar/data/6571/0001068800-06-000926.txt",6571,"10-Q","ANGELICA CORP /NEW/","29.07.06","07.09.06",2006,1655,"31.07.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,0,4.002,0,"I",0.11
"1324",1677,"30.06.2004",1,2004,2,"2004Q2","2004Q2",499.988,887.622,18.173,35.58,43.44,157.335,6.178,197.935,405.079,19.115,96.551,250.987,482.543,38.636,3.21,15.7,"BB",3949,3949,568.2,"http://www.sec.gov/Archives/edgar/data/6720/0001193125-04-135583.txt",6720,"10-Q","K2 INC","30.06.04","09.08.04",2004,1677,"30.06.2004",2004,2,"INDL","USD","2004Q2","2004Q2",NA,28.672,14.258,0,"I",0
"1549",1783,"28.02.2006",1,2006,1,"2006Q1","2006Q1",10.832,13.293,1.115,1.968,0.178,2.603,0.272,3.241,5.844,0.543,2.169,4.302,7.449,0,0.082,5.89,"",3523,3523,595.2,"http://www.sec.gov/Archives/edgar/data/7623/0000007623-06-000005.txt",7623,"10QSB","ARTS WAY MANUFACTURING CO INC","28.02.06","13.04.06",2006,1783,"28.02.2006",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0,0.334,0,"A",0
"1605",1823,"31.12.2004",1,2004,4,"2004Q4","2004Q4",24.482,45.236,9.476,7.8,0.908,11.154,-0.658,6.378,22.576,-0.512,15.221,8.338,22.66,0,0.134,5.1,"",3640,3640,570.1,"http://www.sec.gov/Archives/edgar/data/8063/0000899797-05-000104.txt",8063,"10-K","ASTRONICS CORP","25.03.05","25.03.05",2004,1823,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,1.136,0,"A",0
"1684",1878,"31.07.2006",1,2006,2,"2006Q2","2006Q2",835.9,1475.5,468.2,230.237,0,0,86.8,496.8,580.5,108.7,64.8,449.6,895,0,0,34.11,"",7372,7372,609.6,"http://www.sec.gov/Archives/edgar/data/769397/0001193125-07-128961.txt",769397,"10-Q","AUTODESK INC","31.07.06","04.06.07",2006,1878,"31.07.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,43.5,18.4,154.4,"A",0
"1729",1902,"30.09.2005",1,2005,3,"2005Q3","2005Q3",8.857,20.999,1.37,10.786,3.328,0.756,-1.573,8.248,9.004,-1.263,11.54,5.632,11.995,0,0.04,4.21,"",2834,2834,595.4,"http://www.sec.gov/Archives/edgar/data/718007/0000926236-05-000145.txt",718007,"10-Q","CARRINGTON LABORATORIES INC /TX/","30.09.05","14.11.05",2005,1902,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",0,0,0.647,0,"I",0
"1754",1906,"31.12.2007",1,2007,4,"2007Q4","2007Q4",NA,706.541,195.419,8.525,0,130.766,1.92,NA,178.838,4.135,88.295,60.202,527.703,6.546,1.765,41.82,"",1531,6552,629.174,"http://www.sec.gov/Archives/edgar/data/39677/0000950144-08-001989.txt",39677,"10-K","AVATAR HOLDINGS INC","31.12.07","17.03.08",2007,1906,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",0,0,31.966,0.965,"A",0
"1889",1974,"30.06.2005",1,2005,2,"2005Q2","2005Q2",179.265,213.595,12.402,8.477,NA,NA,0.041,134.04,136.39,4.232,19.395,142.766,77.205,0,0.4,17.86,"",8711,8711,582.6,"http://www.sec.gov/Archives/edgar/data/9263/0000950123-06-010570.txt",9263,"10-Q","BAKER MICHAEL CORP","30.06.05","15.08.06",2005,1974,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",17.11,0,2.212,1.529,"I",0
"2003",2033,"31.12.2004",1,2005,1,"2004Q4","2005Q1",184.935,546.523,14.827,25.194,30.934,116.209,-12.038,105.903,402.828,-10.283,147.315,64.489,143.695,43.187,NA,3.69,"",2300,2300,570.1,"http://www.sec.gov/Archives/edgar/data/9779/0000009779-05-000011.txt",9779,"10-Q","FAIRCHILD CORP","31.12.04","09.02.05",2004,2033,"31.12.2004",2005,1,"INDL","USD","2004Q4","2005Q1",NA,0,2.687,0,"I",0
"2116",2080,"30.11.2006",1,2006,4,"2006Q4","2006Q4",105.764,309.937,6.051,11.804,0,23.522,0.359,43.56,94.071,1.21,92.426,76.502,215.866,0,NA,17.7,"",2511,2511,603.6,"http://www.sec.gov/Archives/edgar/data/10329/0001193125-07-029518.txt",10329,"10-K","BASSETT FURNITURE INDUSTRIES INC","25.11.06","13.02.07",2006,2080,"30.11.2006",2006,4,"INDL","USD","2006Q4","2006Q4",15.41,0.43,6.938,1.013,"A",0.2
"2128",2085,"30.09.2005",1,2005,3,"2005Q3","2005Q3",1488.6,3005.3,556,53.758,168.7,477,-105.2,1032.7,1732.2,125.5,560.9,584.3,1259.1,108.1,11.5,80.68,"BBB",2834,2834,595.4,"http://www.sec.gov/Archives/edgar/data/10427/0000010427-07-000153.txt",10427,"10-Q","BAUSCH & LOMB INC","24.09.05","19.06.07",2005,2085,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",81.7,0,66.4,43.6,"I",0.13
"2311",2163,"31.03.2004",1,2003,4,"2004Q1","2003Q4",11.651,142.41,2.196,9.092,21.773,0.026,2.853,42.503,43.766,7.096,98.219,50.654,97.23,1.237,0.133,18.12,"",5812,5812,561.5,"http://www.sec.gov/Archives/edgar/data/935226/0000935226-04-000019.txt",935226,"10-K","BENIHANA INC","28.03.04","14.06.04",2004,2163,"31.03.2004",2003,4,"INDL","USD","2004Q1","2003Q4",NA,0,22.038,0,"I",0
"2358",2193,"30.06.2004",1,2004,2,"2004Q2","2004Q2",539.083,1322.823,216.463,107.958,9.388,563.8,-14.276,344.756,1087.059,52.112,645.066,535.974,235.764,0,12.108,8.6,"BB-",8051,8051,568.2,"http://www.sec.gov/Archives/edgar/data/1040441/0000950134-04-011732.txt",1040441,"10-Q","BEVERLY ENTERPRISES INC","30.06.04","09.08.04",2004,2193,"30.06.2004",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0,21.913,0,"I",0
"2368",2204,"31.12.2004",1,2004,4,"2004Q4","2004Q4",5.071,112.113,2.487,11.191,0,148.637,4.464,2.872,155.246,-0.063,0,3.443,-43.133,0,3.485,2.27,"",1311,1311,570.1,"http://www.sec.gov/Archives/edgar/data/870756/0000950134-05-005119.txt",870756,"10-K","NATIONAL ENERGY GROUP INC","31.12.04","16.03.05",2004,2204,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,0,0,"I",0
