"","X","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq","Index.1","Index.Correct","time","time.2"
"1",41,1021,"30.09.06",1,2007,1,"2006Q3","2007Q1",13.501,14.305,5.233,12.429,1.063,0,-0.568,4.108,4.174,-0.542,0.36,5.492,10.131,0,NA,1.75,"",3861,3844,607.9,"http://www.sec.gov/Archives/edgar/data/319126/0001157523-06-011336.txt",319126,"10-Q","AFP IMAGING CORP","30.09.06","14.11.06",2006,1021,"30.09.06",2007,1,"INDL","USD","2006Q3","2007Q1",NA,0.115,0.039,0,"I",0,"http://www.sec.gov/Archives/edgar/data/319126/0001157523-06-011336","http://www.sec.gov/Archives/edgar/data/319126/0001157523-06-011336-index.htm","2006-11-14 15:30:07","15:30:07"
"2",51,1034,"30.06.05",1,2005,2,"2005Q2","2005Q2",519.309,1754.727,50.689,53.283,168.385,363.366,6.429,489.194,918.239,45.63,428.335,137.639,836.488,33.253,11.681,14.47,"B",2834,2834,582.6,"http://www.sec.gov/Archives/edgar/data/730469/0000730469-05-000074.txt",730469,"10-Q","ALPHARMA INC","30.06.05","02.08.05",2005,1034,"30.06.05",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,16.41,0,"I",0.045,"http://www.sec.gov/Archives/edgar/data/730469/0000730469-05-000074","http://www.sec.gov/Archives/edgar/data/730469/0000730469-05-000074-index.htm","2005-08-02 12:46:36","12:46:36"
"3",72,1045,"31.03.06",1,2006,1,"2006Q1","2006Q1",6820,29918,4778,189.388,1185,13165,-92,8744,31190,402,18362,5344,-1272,0,261,27.05,"B-",4512,4512,598.6,"http://www.sec.gov/Archives/edgar/data/6201/0000006201-06-000031.txt",6201,"10-Q","AMR CORP","31.03.06","20.04.06",2006,1045,"31.03.06",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0,104,0,"A",0,"http://www.sec.gov/Archives/edgar/data/6201/0000006201-06-000031","http://www.sec.gov/Archives/edgar/data/6201/0000006201-06-000031-index.htm","2006-04-20 15:58:35","15:58:35"
"4",82,1050,"30.06.04",1,2004,2,"2004Q2","2004Q2",18.829,40.827,0.155,9.992,7.857,8.81,-0.282,19.746,33.49,0.414,9.571,15.071,7.337,2.419,0.625,1.794,"",3564,3564,568.2,"http://www.sec.gov/Archives/edgar/data/3197/0001193125-04-141570.txt",3197,"10-Q","CECO ENVIRONMENTAL CORP","30.06.04","16.08.04",2004,1050,"30.06.04",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0,0.119,0,"A",0,"http://www.sec.gov/Archives/edgar/data/3197/0001193125-04-141570","http://www.sec.gov/Archives/edgar/data/3197/0001193125-04-141570-index.htm","2004-08-16 14:11:06","14:11:06"
"5",219,1104,"31.03.06",1,2006,1,"2006Q1","2006Q1",26.238,30.442,0.99,3.485,0.01,7.785,0.759,6.857,15.679,1.5,2.632,12.257,14.763,0.131,0.125,14.01,"",3420,3420,598.6,"http://www.sec.gov/Archives/edgar/data/2098/0001026608-06-000076.txt",2098,"10-Q","ACME UNITED CORP","31.03.06","10.05.06",2006,1104,"31.03.06",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0,0.035,0,"A",0.03,"http://www.sec.gov/Archives/edgar/data/2098/0001026608-06-000076","http://www.sec.gov/Archives/edgar/data/2098/0001026608-06-000076-index.htm","2006-05-10 16:30:01","16:30:01"
"6",239,1109,"31.12.06",1,2006,4,"2006Q4","2006Q4",4.249,6.75,0.527,5.232,1.219,0,-1.1,2.583,2.583,-0.819,1,2.11,4.167,0,0.024,1.5307,"",3944,3944,604.5,"http://www.sec.gov/Archives/edgar/data/747435/0001193125-07-071919.txt",747435,"10KSB","ACTION PRODUCTS INTERNATIONAL INC","31.12.06","02.04.07",2006,1109,"31.12.06",2006,4,"INDL","USD","2006Q4","2006Q4",1.83,0,0.091,0.001,"I",0,"http://www.sec.gov/Archives/edgar/data/747435/0001193125-07-071919","http://www.sec.gov/Archives/edgar/data/747435/0001193125-07-071919-index.htm","2007-04-02 14:21:32","14:21:32"
"7",274,1117,"31.03.07",1,2007,1,"2007Q1","2007Q1",27.36,34.017,11.775,13.342,0,0,-0.344,1.989,1.989,-0.555,0.905,4.631,32.028,0,0.003,4,"",3663,3663,615.145,"http://www.sec.gov/Archives/edgar/data/2186/0001116502-07-000933.txt",2186,"10-Q","RELM WIRELESS CORP","31.03.07","08.05.07",2007,1117,"31.03.07",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,0.083,0,"A",0,"http://www.sec.gov/Archives/edgar/data/2186/0001116502-07-000933","http://www.sec.gov/Archives/edgar/data/2186/0001116502-07-000933-index.htm","2007-05-08 16:50:21","16:50:21"
"8",343,1173,"31.07.07",1,2007,2,"2007Q2","2007Q2",12.292,17.422,0.26,3.569,0.23,2.215,-1.303,5.006,7.597,-1.607,3.23,5.292,9.825,0.006,0.036,7.39,"",3812,3812,623.97,"http://www.sec.gov/Archives/edgar/data/109471/0000910680-07-000867.txt",109471,"10-Q","AEROSONIC CORP /DE/","27.07.07","17.09.07",2007,1173,"31.07.07",2007,2,"INDL","USD","2007Q2","2007Q2",NA,0,0.339,0,"I",0,"http://www.sec.gov/Archives/edgar/data/109471/0000910680-07-000867","http://www.sec.gov/Archives/edgar/data/109471/0000910680-07-000867-index.htm","2007-09-17 17:14:29","17:14:29"
"9",451,1239,"30.09.06",1,2006,4,"2006Q3","2006Q4",1428.801,2582.597,305.95,93.239,1.088,122.322,29.909,590.848,823.668,49.455,354.026,368.141,1758.929,43.527,2.195,50.59,"BBB+",5990,2844,607.9,"http://www.sec.gov/Archives/edgar/data/1368457/0001193125-06-252473.txt",1368457,"10-K","Alberto-Culver CO","30.09.06","13.12.06",2006,1239,"30.09.06",2006,4,"INDL","USD","2006Q3","2006Q4",48.68,26.995,80.341,1.553,"I",0.13,"http://www.sec.gov/Archives/edgar/data/1368457/0001193125-06-252473","http://www.sec.gov/Archives/edgar/data/1368457/0001193125-06-252473-index.htm","2006-12-13 16:18:29","16:18:29"
"10",537,1266,"31.05.07",1,2007,3,"2007Q2","2007Q3",141.194,299.52,79.819,7.364,1.347,67.377,-13.149,94.87,171.117,11.537,131.767,62.188,128.403,0,1.328,59.94,"",100,100,622.921,"http://www.sec.gov/Archives/edgar/data/3545/0001362310-07-001329.txt",3545,"10-Q","ALICO INC","31.05.07","16.07.07",2007,1266,"31.05.07",2007,3,"INDL","USD","2007Q2","2007Q3",58.73,0,7.141,1.106,"A",0.275,"http://www.sec.gov/Archives/edgar/data/3545/0001362310-07-001329","http://www.sec.gov/Archives/edgar/data/3545/0001362310-07-001329-index.htm","2007-07-16 16:51:55","16:51:55"
"11",682,1360,"30.09.06",1,2006,2,"2006Q3","2006Q2",11.033,20.929,2.031,3.995,4.734,1.563,-2.583,12.469,15.607,-1.359,7.552,13.563,5.322,0.17,0.114,2.46,"",NA,7373,607.9,"http://www.sec.gov/Archives/edgar/data/4317/0001038838-06-000968.txt",4317,"10-Q","SENTO CORP","30.09.06","28.12.06",2006,1360,"30.09.06",2006,2,"INDL","USD","2006Q3","2006Q2",NA,0,1.604,0,"I",0,"http://www.sec.gov/Archives/edgar/data/4317/0001038838-06-000968","http://www.sec.gov/Archives/edgar/data/4317/0001038838-06-000968-index.htm","2006-12-27 21:52:48","21:52:48"
